arbre_plus_proche,sondage_N,Texture_2023,final_texture,texture,depth_sup,topo,Silt_class,Family,Genus,species,DBH,Xutm,Yutm
140672,14.9,S,S,SL,0,3,intermediate,Peraceae,Pogonophora,schomburgkiana,1.2,285421.7260689,581560.73835
140838,14.4,SL,SL,SL,0,5,intermediate,Fabaceae,Bocoa,prouacensis,4,285434.102125125,581530.83595
141004,14.3,NA,SL,SL,0,6,intermediate,Lecythidaceae,Eschweilera,sagotiana,1.3,285443.9855292,581493.6008
142097,14.2,SL,SL,SL,0,6,intermediate,Meliaceae,Carapa,surinamensis,11.4591559,285471.880797125,581503.36705
142208,14.5,NA,SL,SL,0,5,intermediate,Malvaceae,Eriotheca,longitubulosa,1.2,285463.644259075,581536.90495
142580,14.8,SL,SL,SA,0,4,intermediate,Clusiaceae,Symphonia,"sp,1",8.4,285456.0913184,581569.9136
143932,14.1,SL,SL,SL,0,5,intermediate,Ochnaceae,Quiina,obovata,1.1,285505.066768,581518.4736
144115,14.6,NA,SL,SL,0,6,intermediate,Euphorbiaceae,Conceveiba,guianensis,31.35352379,285502.66112295,581549.3499
144259,14.7,SL,SL,SL,0,5,intermediate,Peraceae,Pogonophora,schomburgkiana,1.6,285485.7421145,581578.419
150477,15.9,NA,S,S,0,5,intermediate,Sapotaceae,Pouteria,guianensis,1,285520.38291675,581589.45465
150598,15.4,NA,SL,SL,0,6,intermediate,Melastomataceae,Henriettea,flavescens,1,285530.0115995,581556.441
150693,15.3,SL,SL,"Lls, Lms et LS",0,4,intermediate,Clusiaceae,Symphonia,"sp,1",2.2,285540.068895575,581526.16995
152155,15.8,NA,SL,SL,0,6,intermediate,Melastomataceae,Mouriri,huberi,1.9,285552.067137325,581600.23835
152267,15.5,NA,NA,"Lls, Lms et LS",0,5,NA,Annonaceae,Oxandra,asbeckii,2.3,285560.3687226,581570.9116
152453,15.2,NA,NA,"Lls, Lms et LS",0,4,NA,Malvaceae,Eriotheca,globosa,1.3,285573.2272462,581533.7364
153460,15.1,NA,NA,"Lls, Lms et LS",0,5,NA,Chrysobalanaceae,Couepia,habrantha,1.9,285602.5344817,581544.0269
153634,15.6,S,S,SL,0,5,intermediate,Sapotaceae,Pouteria,bangii,2.1,285592.9912222,581575.0738
153843,15.7,NA,NA,"Lls, Lms et LS",0,6,NA,Fabaceae,Swartzia,guianensis,3,285583.897614625,581608.45075
190432,19.9,NA,SL,SL,0,5,intermediate,Ochnaceae,Lacunaria,crenata,5.9,285452.3669805,581463.7655
190511,19.4,S,S,SL,0,5,intermediate,Cordiaceae,Cordia,nodosa,1.1,285461.208322847,581434.83085
190658,19.3,S,S,S,0,6,intermediate,Lecythidaceae,Eschweilera,grandiflora,14.00563499,285469.737465,581398.6254
191464,19.2,SL,SL,SL,0,3,intermediate,Rubiaceae,Duroia,aquatica,6.4,285502.000674,581410.1175
191868,19.8,SL,SL,SL,0,4,intermediate,Vochysiaceae,Qualea,rosea,1.6,285485.4655275,581473.9318
192086,19.5,NA,NA,SA,0,3,NA,Chrysobalanaceae,Hirtella,bicornis,2,285498.9882691,581445.7342
193468,19.1,SL,SL,SA,0,1,intermediate,Clusiaceae,Tovomita,obovata,1.7,285535.089592,581421.646
193668,19.6,SL,SL,SA,0,1,intermediate,Rubiaceae,Duroia,genipoides,2,285524.3897194,581452.9834
193808,19.7,NA,NA,LA à AL,0,3,NA,Clusiaceae,Symphonia,"sp,1",1.2,285515.978815875,581486.78075
200797,20.9,SL,SL,SL,0,3,intermediate,Myristicaceae,Iryanthera,hostmannii,1.1,285549.49909945,581494.5094
201147,20.4,SL,SL,"Lls, Lms et LS",0,1,intermediate,Vochysiaceae,Ruizterania,albiflora,1.4,285557.01209981,581460.5415
201381,20.3,SL,SL,LSA à LAS,0,3,intermediate,Sapotaceae,Pouteria,singularis,1.9,285565.376524175,581428.25995
202741,20.5,NA,NA,SA,0,1,NA,Chrysobalanaceae,Couepia,caryophylloides,8.8,285589.301350553,581467.46725
203215,20.8,SL,SL,SL,0,3,intermediate,Annonaceae,Oxandra,asbeckii,1.1,285579.35406656,581505.0384
203517,20.2,SL,SL,SL,0,3,intermediate,Lecythidaceae,Lecythis,persistens,1.6,285601.305757,581438.855925
204713,20.6,SL,SL,"Lls, Lms et LS",0,3,intermediate,Vochysiaceae,Qualea,rosea,1.2,285626.1564335,581472.4059
204918,20.7,S,S,SL,0,4,intermediate,Melastomataceae,Mouriri,sagotiana,2.1,285614.36935775,581514.3943
205483,20.1,SL,SL,SA,0,4,intermediate,Peraceae,Pogonophora,schomburgkiana,17.66619868,285638.2801236,581449.4494
