fid,arbre_plus,sondage_N,Texture_20,final_text,texture,depth_sup,topo,Silt_class,Family,Genus,species,DBH,Xutm,Yutm,augerpoint,Elevation_Paracou_depth1
"1","140672",14.9,S,S,SL,"55","3",intermediate,Peraceae,Pogonophora,schomburgkiana,1.2,285421.7260689,581560.73835,14.9,15
"2","140838",14.4,SL,SL,SL,"73","5",intermediate,Fabaceae,Bocoa,prouacensis,4,285434.102125125,581530.83595,14.4,11.5900001525879
"3","141004",14.3,NA,SL,SL,"100","6",intermediate,Lecythidaceae,Eschweilera,sagotiana,1.3,285443.9855292,581493.6008,14.3,9.93000030517578
"4","142097",14.2,SL,SL,SL,"70","6",intermediate,Meliaceae,Carapa,surinamensis,11.4591559,285471.880797125,581503.36705,14.2,10.2799997329712
"5","142208",14.5,NA,SL,SL,"100","5",intermediate,Malvaceae,Eriotheca,longitubulosa,1.2,285463.644259075,581536.90495,14.5,10.25
"6","142580",14.8,SL,SL,SA,"85","4",intermediate,Clusiaceae,Symphonia,"sp,1",8.4,285456.0913184,581569.9136,14.8,12.25
"7","143932",14.1,SL,SL,SL,"100","5",intermediate,Ochnaceae,Quiina,obovata,1.1,285505.066768,581518.4736,14.1,10.0799999237061
"8","144115",14.6,NA,SL,SL,"100","6",intermediate,Euphorbiaceae,Conceveiba,guianensis,31.35352379,285502.66112295,581549.3499,14.6,8.44999980926514
"9","144259",14.7,SL,SL,SL,"93","5",intermediate,Peraceae,Pogonophora,schomburgkiana,1.6,285485.7421145,581578.419,14.7,10.8599996566772
"10","150477",15.9,NA,S,S,"100","5",intermediate,Sapotaceae,Pouteria,guianensis,1,285520.38291675,581589.45465,15.9,9.72999954223633
"11","150598",15.4,NA,SL,SL,"100","6",intermediate,Melastomataceae,Henriettea,flavescens,1,285530.0115995,581556.441,15.4,7.65999984741211
"12","150693",15.3,SL,SL,"Lls, Lms et LS","100","4",intermediate,Clusiaceae,Symphonia,"sp,1",2.2,285540.068895575,581526.16995,15.3,11.5
"13","152155",15.8,NA,SL,SL,"100","6",intermediate,Melastomataceae,Mouriri,huberi,1.9,285552.067137325,581600.23835,15.8,7.55000019073486
"14","152267",15.5,NA,NA,"Lls, Lms et LS",,"5",NA,Annonaceae,Oxandra,asbeckii,2.3,285560.3687226,581570.9116,15.5,7.65000009536743
"15","152453",15.2,NA,NA,"Lls, Lms et LS",,"4",NA,Malvaceae,Eriotheca,globosa,1.3,285573.2272462,581533.7364,15.2,12.1899995803833
"16","153460",15.1,NA,NA,"Lls, Lms et LS",,"5",NA,Chrysobalanaceae,Couepia,habrantha,1.9,285602.5344817,581544.0269,15.1,10.8400001525879
"17","153634",15.6,S,S,SL,"84","5",intermediate,Sapotaceae,Pouteria,bangii,2.1,285592.9912222,581575.0738,15.6,8.14999961853027
"18","153843",15.7,NA,NA,"Lls, Lms et LS",,"6",NA,Fabaceae,Swartzia,guianensis,3,285583.897614625,581608.45075,15.7,6.73000001907349
"19","190432",19.9,NA,SL,SL,"100","5",intermediate,Ochnaceae,Lacunaria,crenata,5.9,285452.3669805,581463.7655,19.9,10.3900003433228
"20","190511",19.4,S,S,SL,"100","5",intermediate,Cordiaceae,Cordia,nodosa,1.1,285461.208322847,581434.83085,19.4,12.5500001907349
"21","190658",19.3,S,S,S,"100","6",intermediate,Lecythidaceae,Eschweilera,grandiflora,14.00563499,285469.737465,581398.6254,19.3,11.9700002670288
"22","191464",19.2,SL,SL,SL,"78","3",intermediate,Rubiaceae,Duroia,aquatica,6.4,285502.000674,581410.1175,19.2,16.9599990844727
"23","191868",19.8,SL,SL,SL,"75","4",intermediate,Vochysiaceae,Qualea,rosea,1.6,285485.4655275,581473.9318,19.8,14.3000001907349
"24","192086",19.5,NA,NA,SA,,"3",NA,Chrysobalanaceae,Hirtella,bicornis,2,285498.9882691,581445.7342,19.5,17.8500003814697
"25","193468",19.1,SL,SL,SA,"51","1",intermediate,Clusiaceae,Tovomita,obovata,1.7,285535.089592,581421.646,19.1,20.0400009155273
"26","193668",19.6,SL,SL,SA,"62","1",intermediate,Rubiaceae,Duroia,genipoides,2,285524.3897194,581452.9834,19.6,20.2199993133545
"27","193808",19.7,NA,NA,LA à AL,,"3",NA,Clusiaceae,Symphonia,"sp,1",1.2,285515.978815875,581486.78075,19.7,15.5500001907349
"28","200797",20.9,SL,SL,SL,"0","3",intermediate,Myristicaceae,Iryanthera,hostmannii,1.1,285549.49909945,581494.5094,20.9,17.4599990844727
"29","201147",20.4,SL,SL,"Lls, Lms et LS","100","1",intermediate,Vochysiaceae,Ruizterania,albiflora,1.4,285557.01209981,581460.5415,20.4,20.7399997711182
"30","201381",20.3,SL,SL,LSA à LAS,"60","3",intermediate,Sapotaceae,Pouteria,singularis,1.9,285565.376524175,581428.25995,20.3,18.4200000762939
"31","202741",20.5,NA,NA,SA,,"1",NA,Chrysobalanaceae,Couepia,caryophylloides,8.8,285589.301350553,581467.46725,20.5,20.2900009155273
"32","203215",20.8,SL,SL,SL,"70","3",intermediate,Annonaceae,Oxandra,asbeckii,1.1,285579.35406656,581505.0384,20.8,16.8600006103516
"33","203517",20.2,SL,SL,SL,"47","3",intermediate,Lecythidaceae,Lecythis,persistens,1.6,285601.305757,581438.855925,20.2,16.6200008392334
"34","204713",20.6,SL,SL,"Lls, Lms et LS","46","3",intermediate,Vochysiaceae,Qualea,rosea,1.2,285626.1564335,581472.4059,20.6,15.7600002288818
"35","204918",20.7,S,S,SL,"42","4",intermediate,Melastomataceae,Mouriri,sagotiana,2.1,285614.36935775,581514.3943,20.7,14.4200000762939
"36","205483",20.1,SL,SL,SA,"100","4",intermediate,Peraceae,Pogonophora,schomburgkiana,17.66619868,285638.2801236,581449.4494,20.1,12.0299997329712
