depth_sup,Slope
"55",Basdepente
"73",Basdepente
"100",Basdepente
"70",Basdepente
"100",Basdepente
"85",Basdepente
"100",Basdepente
"100",Basfond
"93",Basdepente
"100",Basdepente
"100",Basfond
"100",Basdepente
"100",Basfond
,Basdepente
,Basdepente
,Basdepente
"84",Basdepente
,Basfond
"100",Basdepente
"100",Basdepente
"100",Basdepente
"78",Basdepente
"75",Pente
,Pente
"51",Plateau
"62",Plateau
,Pente
"0",
"100",Plateau
"60",Pente
,Plateau
"70",Pente
"47",Pente
"46",Pente
"42",Basdepente
"100",Basdepente
